Name,PointValue,TickSize,Url
AKAM,1,0.01,http://finance.yahoo.com/q?s=AKAM
ALB,1,0.01,https://finance.yahoo.com/quote/ALB/?p=ALB
ALGN,1,0.01,http://finance.yahoo.com/q?s=ALGN
ALK,1,0.01,https://finance.yahoo.com/quote/ALK/?p=ALK
ALL,1,0.01,http://finance.yahoo.com/q?s=ALL
ALLE,1,0.01,http://finance.yahoo.com/q?s=ALLE
ALXN,1,0.01,http://finance.yahoo.com/q?s=ALXN
AMAT,1,0.01,http://finance.yahoo.com/q?s=amat
AMCR,1,0.01,https://finance.yahoo.com/quote/AMCR
AMD,1,0.01,http://finance.yahoo.com/q?s=AMD
AME,1,0.01,http://finance.yahoo.com/q?s=AME
AMGN,1,0.01,http://finance.yahoo.com/q?s=amgn
AMP,1,0.01,http://finance.yahoo.com/q?s=AMP
AMT,1,0.01,http://finance.yahoo.com/q?s=AMT
AMZN,1,0.01,http://finance.yahoo.com/q?s=amzn
ANET,1,0.01,http://finance.yahoo.com/q?s=ANET
ANSS,1,0.01,https://finance.yahoo.com/quote/ANSS/
ANTM,1,0.01,http://finance.yahoo.com/q?s=ANTM
AON,1,0.01,http://finance.yahoo.com/q?s=AON
AOS,1,0.01,http://finance.yahoo.com/q?s=AOS
APA,1,0.01,http://finance.yahoo.com/q?s=APA
APD,1,0.01,http://finance.yahoo.com/q?s=APD
APH,1,0.01,http://finance.yahoo.com/q?s=APH
APTV,1,0.01,http://finance.yahoo.com/q?s=APTV
ARE,1,0.01,http://finance.yahoo.com/q?s=ARE
ATO,1,0.01,http://finance.yahoo.com/q?s=ATO
ATVI,1,0.01,http://finance.yahoo.com/q?s=atvi
AVB,1,0.01,http://finance.yahoo.com/q?s=AVB
AVGO,1,0.01,http://finance.yahoo.com/q?s=AVGO
AVY,1,0.01,http://finance.yahoo.com/q?s=AVY
AWK,1,0.01,http://finance.yahoo.com/q?s=AWK
AXP,1,0.01,http://finance.yahoo.com/q?s=axp
AZO,1,0.01,http://finance.yahoo.com/q?s=AZO
BA,1,0.01,http://finance.yahoo.com/q?s=ba
BAC,1,0.01,http://finance.yahoo.com/q?s=BAC
BAX,1,0.01,http://finance.yahoo.com/q?s=BAX
BBY,1,0.01,http://finance.yahoo.com/q?s=BBY
BDX,1,0.01,http://finance.yahoo.com/q?s=BDX
BEN,1,0.01,http://finance.yahoo.com/q?s=BEN
BF_B,1,0.01,http://finance.yahoo.com/q?s=BF.B
BIIB,1,0.01,http://finance.yahoo.com/q?s=biib
BIO,1,0.01,https://finance.yahoo.com/quote/BIO/
BK,1,0.01,http://finance.yahoo.com/q?s=BK
BKNG,1,0.01,https://finance.yahoo.com/quote/BKNG
BKR,1,0.01,https://finance.yahoo.com/quote/BKR
BLK,1,0.01,http://finance.yahoo.com/q?s=BLK
BLL,1,0.01,http://finance.yahoo.com/q?s=BLL
BMY,1,0.01,http://finance.yahoo.com/q?s=BMY
BR,1,0.01,http://finance.yahoo.com/q?s=BR
BRK_B,1,0.01,http://finance.yahoo.com/q?s=BRK.B
BSX,1,0.01,http://finance.yahoo.com/q?s=BSX
BWA,1,0.01,http://finance.yahoo.com/q?s=BWA
BXP,1,0.01,http://finance.yahoo.com/q?s=BXP
C,1,0.01,http://finance.yahoo.com/q?s=c
CAG,1,0.01,http://finance.yahoo.com/q?s=CAG
CAH,1,0.01,http://finance.yahoo.com/q?s=CAH
CARR,1,0.01,https://finance.yahoo.com/quote/CARR/
CAT,1,0.01,http://finance.yahoo.com/q?s=cat
